position,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_from_results,points_adjustment
1,Manchester City,38,28,7,3,96,34,62,91,91,0
2,Arsenal,38,28,5,5,91,29,62,89,89,0
3,Liverpool,38,24,10,4,86,41,45,82,82,0
4,Aston Villa,38,20,8,10,76,61,15,68,68,0
5,Tottenham Hotspur,38,20,6,12,74,61,13,66,66,0
6,Chelsea,38,18,9,11,77,63,14,63,63,0
7,Newcastle United,38,18,6,14,85,62,23,60,60,0
8,Manchester United,38,18,6,14,57,58,-1,60,60,0
9,West Ham United,38,14,10,14,60,74,-14,52,52,0
10,Crystal Palace,38,13,10,15,57,58,-1,49,49,0
11,Brighton and Hove Albion,38,12,12,14,55,62,-7,48,48,0
12,Bournemouth,38,13,9,16,54,67,-13,48,48,0
13,Fulham,38,13,8,17,55,61,-6,47,47,0
14,Wolverhampton Wanderers,38,13,7,18,50,65,-15,46,46,0
15,Everton,38,13,9,16,40,51,-11,40,48,-8
16,Brentford,38,10,9,19,56,65,-9,39,39,0
17,Nottingham Forest,38,9,9,20,49,67,-18,32,36,-4
18,Luton Town,38,6,8,24,52,85,-33,26,26,0
19,Burnley,38,5,9,24,41,78,-37,24,24,0
20,Sheffield United,38,3,7,28,35,104,-69,16,16,0
